# The methodology's named roster, as a checked-in audit fixture.
#
# THIS IS NOT THE UNIVERSE. It is the *audit set*: a hand-named list used to
# measure whether the employer universe found firms we already know exist. It
# never gates ingestion, and a firm's absence from this file says nothing.
#
# Columns
#   hub       office city or region, as the methodology groups them
#   priority  focus | deprioritized -- reported separately so the deprioritized
#             hubs cannot drown out the ones that matter
#   name      the roster name, verbatim where possible
#   aliases   '|'-separated alternative names; a match on any one counts
#   status    active | stale | absent
#               stale  -- the firm is gone; a miss is correct, not a bug
#               absent -- the roster entry never named a real firm
#   note      why, for anything not plainly active
#
# Prose entries in the methodology ("plus all bulge-bracket banks", "plus the
# DIFC/ADGM registers", "Optiver-adjacent market makers", "plus domestic quant
# funds via AMAC") are expanded into named firms where they name any, and
# dropped where they do not -- an unenumerable entry cannot be audited.
#
# A hub label is where the *office* is. Matching is on the firm, not the
# office: Optiver appears under five hubs and one match satisfies all five.
# Office-level presence is not verifiable until Layer 2 resolves careers feeds,
# so read a hub's hit rate as "these firms are in the universe", never as "we
# have their local entity".
hub,priority,name,aliases,status,note
# ── Stockholm ────────────────────────────────────────────────────────────────
Stockholm,focus,Lynx Asset Management,Lynx Hedge,active,
Stockholm,focus,Brummer & Partners,Brummer|Nektar Asset Management,active,
Stockholm,focus,IPM,Informed Portfolio Management,stale,Wound down December 2021. Absence is correct.
Stockholm,focus,Nordkinn,Nordkinn Asset Management,active,
Stockholm,focus,Captor,Captor Fund Management,active,
Stockholm,focus,Coeli,Coeli Asset Management,active,
Stockholm,focus,Norron,Norron Asset Management,active,Fund management business being sold to Simplicity AB (announced July 2026).
Stockholm,focus,Atlant,Atlant Fonder,active,
Stockholm,focus,AP1,Första AP-fonden,absent,"Wound up. ap1.se: ""Första AP-fonden (AP1) har avvecklats ... AP1:s verksamhet upphörde vid utgången av 2025"" — riksdag restructuring of the buffer funds; the domain now serves AP4's site."
Stockholm,focus,AP2,Andra AP-fonden,active,Not FI-supervised; carried by the seed registry.
Stockholm,focus,AP3,Tredje AP-fonden,active,Not FI-supervised; carried by the seed registry.
Stockholm,focus,AP4,Fjärde AP-fonden,active,Not FI-supervised; carried by the seed registry.
Stockholm,focus,AP5,Femte AP-fonden,absent,No Femte AP-fonden exists. The buffer funds are AP1-AP4 and AP6; AP7 runs the premium pension default.
Stockholm,focus,AP6,Sjätte AP-fonden,absent,"Wound up. ap6.se: ""Sjätte AP-fondens verksamhet upphörde enligt riksdagens beslut vid utgången av 2025, efter 30 år"" — the domain now serves AP2's site."
Stockholm,focus,AP7,Sjunde AP-fonden,active,"Domain is ap7.se. sjunde.se is Sjunde Konsultbolaget, an unrelated Stockholm IT consultancy, and resolved as a false match."
Stockholm,focus,Nasdaq Stockholm,Nasdaq Clearing,active,No bare "Nasdaq" alias -- it matches every index fund tracking the Nasdaq-100. Note "Nasdaq AB" is also unsafe: normalization strips AB as a legal form and leaves the bare token.
Stockholm,focus,SEB,Skandinaviska Enskilda Banken,active,
Stockholm,focus,Handelsbanken,Svenska Handelsbanken,active,
Stockholm,focus,Swedbank,,active,
Stockholm,focus,Nordea,Nordea Bank,active,
Stockholm,focus,Alecta,Alecta Tjänstepension,active,Was missing because fi_se walked only the aktiebolag form of occupational pension undertaking. Alecta is a mutual, filed under TJPÖMS; that category is now walked.
Stockholm,focus,AMF,AMF Fonder|AMF Pensionsförsäkring,active,
# ── Copenhagen ───────────────────────────────────────────────────────────────
Copenhagen,focus,Danske Bank,Danske Invest,active,
Copenhagen,focus,Nordea DK,Nordea Danmark|Nordea Bank,active,Same group as the Stockholm entry; one match satisfies both.
Copenhagen,focus,ATP,Arbejdsmarkedets Tillægspension,active,Was missing until finanstilsynet_dk was added.
Copenhagen,focus,PFA,PFA Pension,active,Was missing until finanstilsynet_dk was added.
Copenhagen,focus,Saxo Bank,Saxo,active,
Copenhagen,focus,Jyske,Jyske Bank,active,
Copenhagen,focus,Maj Invest,,active,
# ── Amsterdam ────────────────────────────────────────────────────────────────
Amsterdam,focus,Optiver,,active,
Amsterdam,focus,IMC,IMC Trading|IMC Financial Markets,active,
Amsterdam,focus,Flow Traders,,active,
Amsterdam,focus,Da Vinci,Da Vinci Derivatives,active,Sponsored access; in no public register. Carried by the seed registry.
Amsterdam,focus,Webb Traders,,active,Being acquired by Marex Group (announced February 2026). May stop appearing under its own name.
Amsterdam,focus,All Options,,active,
Amsterdam,focus,Mako,Mako Global|Mako Financial Markets,active,
Amsterdam,focus,Vivienne,Vivienne Investeringen|Vivienne Court Trading,active,
Amsterdam,focus,323 Trading,323 Trading Group,active,
Amsterdam,focus,ABN AMRO,,active,
Amsterdam,focus,Robeco,,active,
Amsterdam,focus,APG,APG Asset Management,active,
Amsterdam,focus,PGGM,PGGM Vermogensbeheer,active,Was missing because afm_nl read only AFM's two CSV exports; the AIFM manager registers are published as spreadsheets on the same page. Not a DNB gap -- DNB's register does not contain PGGM at all.
# ── Switzerland ──────────────────────────────────────────────────────────────
Switzerland,focus,UBS,,active,
Switzerland,focus,Pictet,,active,
Switzerland,focus,Lombard Odier,,active,
Switzerland,focus,Julius Baer,Julius Bär,active,Never actually missing: eurex has carried Bank Julius Bär & Co. AG since it was added. The audit reported it absent because matching was anchored to the start of the name, and the registry name begins with Bank.
Switzerland,focus,Vontobel,,active,
Switzerland,focus,Zürcher Kantonalbank,Zurcher Kantonalbank|ZKB,active,
Switzerland,focus,Unigestion,,active,
Switzerland,focus,Systematica,Systematica Investments,active,
Switzerland,focus,GAM,GAM Holding|GAM Investments,active,Systematic arm effectively wound down 2024-2025. Keep but rank low.
Switzerland,focus,Swiss Re,,active,Markets side only.
Switzerland,focus,Zurich Insurance,Zurich Insurance Group,active,Markets side only. Reached through Zurich Insurance Europe AG in the Danish register; still no Swiss register of our own.
# ── Dubai ────────────────────────────────────────────────────────────────────
Dubai,deprioritized,DRW,DRW Trading|DRW Investments,active,
Dubai,deprioritized,Millennium,Millennium Management,active,
Dubai,deprioritized,Balyasny,Balyasny Asset Management,active,
Dubai,deprioritized,ADIA,Abu Dhabi Investment Authority,active,Sovereign wealth fund; appears in no financial register anywhere. Carried by the seed registry.
Dubai,deprioritized,ADQ,,active,Sovereign wealth fund; appears in no financial register anywhere. Carried by the seed registry.
Dubai,deprioritized,Mubadala,Mubadala Investment Company,active,Sovereign wealth fund; appears in no financial register anywhere. Carried by the seed registry.
Dubai,deprioritized,Emirates NBD,,active,Present only through its Singapore banking licence -- hence not local. No Gulf register is ingested; DFSA puts its public register behind a CAPTCHA.
# ── Hong Kong ────────────────────────────────────────────────────────────────
Hong Kong,focus,Optiver,,active,
Hong Kong,focus,Jump Trading,Jump Trading Europe,active,
Hong Kong,focus,Tower Research Capital,Tower Research|Latour Trading,active,
Hong Kong,focus,Jane Street,,active,
Hong Kong,focus,Millennium,Millennium Management,active,
Hong Kong,focus,Point72,Point72 Asset Management,active,
Hong Kong,focus,HSBC,,active,
Hong Kong,focus,Goldman Sachs,,active,
Hong Kong,focus,Citadel Securities,,active,
# Hong Kong, widened. The nine lines above are the marquee international
# desks; everything below is smaller or HK-headquartered, and every one
# was verified against a register row before being written -- most carry
# an `sfc_hk` licensed-corporation entry, the enumeration that is complete
# by law. Names are deliberately long: a bare Sun Hung Kai is a property
